Code type,Year,recipient_name,Reporting Organisation Narrative,disbursed
Reproductive health care,2019.0,Bangladesh,Norad - Norwegian Agency for Development Cooperation,0.07101127299999999
Reproductive health care,2019.0,Bangladesh,Options Consultancy Services,0.283296806919
Reproductive health care,2019.0,Bangladesh,Plan International Netherlands,0.22432261125
Reproductive health care,2019.0,Bangladesh,Stichting Simavi,0.12114843612125
Reproductive health care,2019.0,Bangladesh,Sweden,1.7118478121248109
Reproductive health care,2019.0,Bangladesh,UNICEF,4.851283622
Reproductive health care,2019.0,Bangladesh,U.S. Agency for International Development,25.148529289999995
Reproductive health care,2019.0,Bangladesh,World Bank,7.151077260000001
Reproductive health care,2019.0,Bangladesh,Y Care International,0.0080610529088
Reproductive health care,2019.0,Bangladesh,Young Women's Christian Association of Bangladesh,0.022997957145
Reproductive health care,2019.0,Barbados,World Health Organization,0.004348
Reproductive health care,2019.0,Belarus,Bundesministerium fÃ¼r wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),0.3941031825
Reproductive health care,2019.0,Belize,UNICEF,0.16244842600000003
Reproductive health care,2019.0,Belize,World Health Organization,0.0140102
Reproductive health care,2019.0,Benin,AFD,3.350740559111
Reproductive health care,2019.0,Benin,Cordaid,0.22287919512000004
Reproductive health care,2019.0,Benin,Directorate-general Development Cooperation and Humanitarian Aid,0.19688198699999998
Reproductive health care,2019.0,Benin,"Foreign Affairs, Trade and Development Canada (DFATD)",2.9577800857442753
Reproductive health care,2019.0,Benin,International Development Research Centre,0.07659783896999998
Reproductive health care,2019.0,Benin,Memisa Belgique asbl,0.17815286060000002
Reproductive health care,2019.0,Benin,Ministry of Foreign Affairs of the Netherlands,7.719214462999998
Reproductive health care,2019.0,Benin,Nuffic,0.2021220608
Reproductive health care,2019.0,Benin,Sweden,0.0417940122040208
Reproductive health care,2019.0,Benin,UNICEF,0.472875936
Reproductive health care,2019.0,Benin,U.S. Agency for International Development,4.07558359
Reproductive health care,2019.0,Bhutan,UNICEF,0.15513958
Reproductive health care,2019.0,Bolivia (Plurinational State of),Diakonia,
Reproductive health care,2019.0,Bolivia (Plurinational State of),European Commission - International Partnerships,0.20945792538
Reproductive health care,2019.0,Bolivia (Plurinational State of),"Foreign Affairs, Trade and Development Canada (DFATD)",0.01294916896
Reproductive health care,2019.0,Bolivia (Plurinational State of),Sweden,2.197569771253926
Reproductive health care,2019.0,Bolivia (Plurinational State of),UNICEF,1.2975435000000002
Reproductive health care,2019.0,Bolivia (Plurinational State of),World Health Organization,0.5119517
Reproductive health care,2019.0,Bosnia and Herzegovina,Aidsfonds - Soaaids Nederland,0.00015129576041666664
Reproductive health care,2019.0,Bosnia and Herzegovina,Swiss Agency for Development and Cooperation (SDC),0.052329600000000004
Reproductive health care,2019.0,Botswana,Aidsfonds - Soaaids Nederland,0.00015129576041666664
Reproductive health care,2019.0,Brazil,Aidsfonds - Soaaids Nederland,0.00015129576041666664
Reproductive health care,2019.0,Brazil,Plan International Netherlands,0.12338273702000002
Reproductive health care,2019.0,Brazil,UNICEF,0.13871952199999998
Reproductive health care,2019.0,Brazil,World Health Organization,0.40120409999999995
Reproductive health care,2019.0,Bulgaria,Aidsfonds - Soaaids Nederland,0.00015129576041666664
Reproductive health care,2019.0,Bulgaria,UNICEF,0.045859352000000006
Reproductive health care,2019.0,Burkina Faso,Aidsfonds - Soaaids Nederland,0.00015129576041666664
Reproductive health care,2019.0,Burkina Faso,Bill and Melinda Gates Foundation,0.7586195
Reproductive health care,2019.0,Burkina Faso,Directorate-general Development Cooperation and Humanitarian Aid,0.181018672
Reproductive health care,2019.0,Burkina Faso,"Foreign Affairs, Trade and Development Canada (DFATD)",0.67833
Reproductive health care,2019.0,Burkina Faso,MSI Reproductive Choices,3.69076323446
Reproductive health care,2019.0,Burkina Faso,Options Consultancy Services,0.21202744384299999
Reproductive health care,2019.0,Burkina Faso,Sweden,0.0332777230359882
Reproductive health care,2019.0,Burkina Faso,UNICEF,1.207703982
Reproductive health care,2019.0,Burkina Faso,U.S. Agency for International Development,0.33044575
Reproductive health care,2019.0,Burkina Faso,World Bank,0.32392708000000003
Reproductive health care,2019.0,Burundi,Aidsfonds - Soaaids Nederland,0.00015129576041666664
Reproductive health care,2019.0,Burundi,"Foreign Affairs, Trade and Development Canada (DFATD)",0.3885674215243348
Reproductive health care,2019.0,Burundi,Memisa Belgique asbl,0.09919466282
Reproductive health care,2019.0,Burundi,Ministry of Foreign Affairs of the Netherlands,2.1099988955
Reproductive health care,2019.0,Burundi,Netherlands Enterprise Agency,0.0302679215
Reproductive health care,2019.0,Burundi,Nuffic,0.16844183606250002
Reproductive health care,2019.0,Burundi,UNICEF,1.045288112
Reproductive health care,2019.0,Burundi,U.S. Agency for International Development,0.30730257
Reproductive health care,2019.0,Cambodia,Aidsfonds - Soaaids Nederland,0.00015129576041666664
Reproductive health care,2019.0,Cambodia,Australian Aid,1.66536
Reproductive health care,2019.0,Cambodia,Diakonia,
Reproductive health care,2019.0,Cambodia,European Commission - International Partnerships,0.00200181344
Reproductive health care,2019.0,Cambodia,"Foreign Affairs, Trade and Development Canada (DFATD)",0.172515446771975
Reproductive health care,2019.0,Cambodia,Sweden,0.034122611279730104
Reproductive health care,2019.0,Cambodia,UNICEF,0.677321784
Reproductive health care,2019.0,Cambodia,U.S. Agency for International Development,2.73743196
Reproductive health care,2019.0,Cambodia,World Bank,0.58367526
Reproductive health care,2019.0,Cameroon,Aidsfonds - Soaaids Nederland,0.00015129576041666664
Reproductive health care,2019.0,Cameroon,Bill and Melinda Gates Foundation,0.075
Reproductive health care,2019.0,Cameroon,Cordaid,0.53403490588
Reproductive health care,2019.0,Cameroon,"Foreign Affairs, Trade and Development Canada (DFATD)",0.012113718060429999
Reproductive health care,2019.0,Cameroon,International Development Research Centre,0.00340073459
Reproductive health care,2019.0,Cameroon,MSI Reproductive Choices,0.369076323446
Reproductive health care,2019.0,Cameroon,UNICEF,0.386798929
Reproductive health care,2019.0,Cameroon,World Bank,0.0007377000000000116
Reproductive health care,2019.0,Canada,"Foreign Affairs, Trade and Development Canada (DFATD)",0.05408305761763586
Reproductive health care,2019.0,Central African Republic (the),Bill and Melinda Gates Foundation,0.1792
Reproductive health care,2019.0,Central African Republic (the),Cordaid,0.4176227579999999
Reproductive health care,2019.0,Central African Republic (the),Swiss Agency for Development and Cooperation (SDC),0.087216
Reproductive health care,2019.0,Central African Republic (the),UNICEF,0.417558988
Reproductive health care,2019.0,Central African Republic (the),World Bank,5.90406
Reproductive health care,2019.0,"Central America, regional",Sweden,0.1374803033026999
Reproductive health care,2019.0,"Central Asia, regional",International Planned Parenthood Federation,0.19462626611999997
Reproductive health care,2019.0,Chad,Bill and Melinda Gates Foundation,0.075
Reproductive health care,2019.0,Chad,MSI Reproductive Choices,0.7381526468920001
Reproductive health care,2019.0,Chad,Swiss Agency for Development and Cooperation (SDC),0.18319789056000002
Reproductive health care,2019.0,Chad,UNICEF,0.44331992400000014
Reproductive health care,2019.0,Chile,World Health Organization,0.0267225
Reproductive health care,2019.0,China,Aidsfonds - Soaaids Nederland,0.00015129576041666664
Reproductive health care,2019.0,China,UNICEF,1.7736015050000002
Reproductive health care,2019.0,Colombia,"Foreign Affairs, Trade and Development Canada (DFATD)",0.311400139104
Reproductive health care,2019.0,Colombia,Sweden,0.6202476760541038
Reproductive health care,2019.0,Colombia,UNICEF,0.27195198000000004
Reproductive health care,2019.0,Colombia,World Health Organization,0.1020196
Reproductive health care,2019.0,Comoros (the),UNICEF,0.127570242
Reproductive health care,2019.0,Congo (the),UNICEF,0.13236374599999998
Reproductive health care,2019.0,Congo (the),World Bank,-0.01239615
Reproductive health care,2019.0,Congo (the Democratic Republic of the),Aidsfonds - Soaaids Nederland,0.00015129576041666664
Reproductive health care,2019.0,Congo (the Democratic Republic of the),Bill and Melinda Gates Foundation,0.221046
Reproductive health care,2019.0,Congo (the Democratic Republic of the),Bundesministerium fÃ¼r wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),0.50979791
Reproductive health care,2019.0,Congo (the Democratic Republic of the),Cordaid,0.7854799347000002
Reproductive health care,2019.0,Congo (the Democratic Republic of the),"Foreign Affairs, Trade and Development Canada (DFATD)",2.3653619769822587
Reproductive health care,2019.0,Congo (the Democratic Republic of the),"Foreign, Commonwealth and Development Office",3.8868874336
Reproductive health care,2019.0,Congo (the Democratic Republic of the),IMA World Health,1.19712221230212
Reproductive health care,2019.0,Congo (the Democratic Republic of the),International Development Research Centre,0.06281773859999999
Reproductive health care,2019.0,Congo (the Democratic Republic of the),Ipas,1.982595312128
Reproductive health care,2019.0,Congo (the Democratic Republic of the),Memisa Belgique asbl,0.88059845104
Reproductive health care,2019.0,Congo (the Democratic Republic of the),Ministry of Foreign Affairs of the Netherlands,0.026350791000000002
Reproductive health care,2019.0,Congo (the Democratic Republic of the),MSI Reproductive Choices,8.488755439258002
Reproductive health care,2019.0,Congo (the Democratic Republic of the),Options Consultancy Services,0.20579134255350004
Reproductive health care,2019.0,Congo (the Democratic Republic of the),Sweden,5.223311382311572
Reproductive health care,2019.0,Congo (the Democratic Republic of the),Swiss Agency for Development and Cooperation (SDC),0.91965222144
Reproductive health care,2019.0,Congo (the Democratic Republic of the),UNICEF,1.7475843540000005
Reproductive health care,2019.0,Congo (the Democratic Republic of the),U.S. Agency for International Development,33.38290267
Reproductive health care,2019.0,Cook Islands (the),New Zealand Ministry of Foreign Affairs and Trade,0.00913758615
Reproductive health care,2019.0,Costa Rica,World Health Organization,0.0014896
Reproductive health care,2019.0,CÃ´te d'Ivoire,European Commission - International Partnerships,0.16906522394850002
Reproductive health care,2019.0,CÃ´te d'Ivoire,"Foreign Affairs, Trade and Development Canada (DFATD)",0.5969304
Reproductive health care,2019.0,CÃ´te d'Ivoire,MSI Reproductive Choices,0.369076323446
Reproductive health care,2019.0,CÃ´te d'Ivoire,UNICEF,2.1468362799999996
Reproductive health care,2019.0,Croatia,UNICEF,0.25081328799999997
Reproductive health care,2019.0,Cuba,UNICEF,0.10119635
Reproductive health care,2019.0,"Developing countries, unspecified",Bill and Melinda Gates Foundation,47.5843273
Reproductive health care,2019.0,"Developing countries, unspecified",Bundesministerium fÃ¼r wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),6.717
Reproductive health care,2019.0,"Developing countries, unspecified",Directorate-general Development Cooperation and Humanitarian Aid,2.239
Reproductive health care,2019.0,"Developing countries, unspecified","Foreign Affairs, Trade and Development Canada (DFATD)",0.013370712317201692
Reproductive health care,2019.0,"Developing countries, unspecified","Foreign, Commonwealth and Development Office",31.1845497673
Reproductive health care,2019.0,"Developing countries, unspecified",Ipas,1.1195
Reproductive health care,2019.0,"Developing countries, unspecified",Ministry for Foreign Affairs of Finland,2.02158
Reproductive health care,2019.0,"Developing countries, unspecified","Ministry of Foreign Affairs, Denmark",8.66115497971
Reproductive health care,2019.0,"Developing countries, unspecified",Ministry of Foreign Affairs of the Netherlands,147.6271674995
Reproductive health care,2019.0,"Developing countries, unspecified",MSI Reproductive Choices,1.988639533
Reproductive health care,2019.0,"Developing countries, unspecified",New Zealand Ministry of Foreign Affairs and Trade,1.7636275
Reproductive health care,2019.0,"Developing countries, unspecified",Norad - Norwegian Agency for Development Cooperation,16.722170901400002
Reproductive health care,2019.0,"Developing countries, unspecified",Sweden,32.85049648896456
Reproductive health care,2019.0,"Developing countries, unspecified",Swiss Agency for Development and Cooperation (SDC),2.472087212800001
Reproductive health care,2019.0,"Developing countries, unspecified",U.S. Agency for International Development,74.42328788
Reproductive health care,2019.0,Djibouti,AICS - Italian Agency for Cooperation and Development,0.58334906
Reproductive health care,2019.0,Djibouti,UNICEF,0.101835835
Reproductive health care,2019.0,Dominican Republic (the),UNICEF,0.241843754
Reproductive health care,2019.0,Dominican Republic (the),World Health Organization,0.4615006
Reproductive health care,2019.0,"Eastern Africa, regional",Sweden,0.22798771983629276
Reproductive health care,2019.0,Ecuador,Aidsfonds - Soaaids Nederland,0.00015129576041666664
Reproductive health care,2019.0,Ecuador,Flemish Interuniversity Council for University Development Cooperation (VLIR-UOS),
Reproductive health care,2019.0,Ecuador,"Foreign Affairs, Trade and Development Canada (DFATD)",0.012934939103999999
Reproductive health care,2019.0,Ecuador,UNICEF,0.091585908
Reproductive health care,2019.0,Ecuador,World Health Organization,0.17319189999999998
Reproductive health care,2019.0,Egypt,Norad - Norwegian Agency for Development Cooperation,2.4553
Reproductive health care,2019.0,Egypt,Sweden,0.2918812593195782
Reproductive health care,2019.0,Egypt,UNICEF,0.23232363500000003
Reproductive health care,2019.0,Egypt,U.S. Agency for International Development,0.24707047000000001
Reproductive health care,2019.0,El Salvador,AECID Spanish Agency for International Development Cooperation,0.6708375132800001
Reproductive health care,2019.0,El Salvador,"Foreign Affairs, Trade and Development Canada (DFATD)",0.17719110150000006
Reproductive health care,2019.0,El Salvador,UNICEF,0.19600047399999998
Reproductive health care,2019.0,Equatorial Guinea,AECID Spanish Agency for International Development Cooperation,0.62562644892
Reproductive health care,2019.0,Equatorial Guinea,UNICEF,0.001593748
Reproductive health care,2019.0,Eswatini,Aidsfonds - Soaaids Nederland,0.00015129576041666664
Reproductive health care,2019.0,Eswatini,Australian Aid,0.017572712183999997
Reproductive health care,2019.0,Eswatini,Norad - Norwegian Agency for Development Cooperation,0.050557482
Reproductive health care,2019.0,Eswatini,UNICEF,0.27949601300000004
Reproductive health care,2019.0,Ethiopia,AECID Spanish Agency for International Development Cooperation,0.22742775
Reproductive health care,2019.0,Ethiopia,AICS - Italian Agency for Cooperation and Development,1.4178043097549997
Reproductive health care,2019.0,Ethiopia,Aidsfonds - Soaaids Nederland,0.00015129576041666664
Reproductive health care,2019.0,Ethiopia,Amref Flying Doctors,0.1917272212625
Reproductive health care,2019.0,Ethiopia,Amref Health Africa - UK,0.1282973804
Reproductive health care,2019.0,Ethiopia,Bill and Melinda Gates Foundation,8.63277809
Reproductive health care,2019.0,Ethiopia,Bundesministerium fÃ¼r wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),0.5597488804999999
Reproductive health care,2019.0,Ethiopia,CARE International UK,0.204981238124
Reproductive health care,2019.0,Ethiopia,Charity Projects Ltd (Comic Relief),0.0007308174000000001
Reproductive health care,2019.0,Ethiopia,CHOICE for Youth and Sexuality,0.083832297672
Reproductive health care,2019.0,Ethiopia,Cordaid,0.041187273732
Reproductive health care,2019.0,Ethiopia,dance4life,0.012077087385000001
Reproductive health care,2019.0,Ethiopia,DFAT / Irish Aid,0.004717020000000001
Reproductive health care,2019.0,Ethiopia,Ethiopiaid,0.5571515786
Reproductive health care,2019.0,Ethiopia,Ethiopiaid Ireland,0.0532338169
Reproductive health care,2019.0,Ethiopia,European Commission - International Partnerships,0.396786973451
Reproductive health care,2019.0,Ethiopia,Family Guidance Association Of Ethiopia,3.028439226632
Reproductive health care,2019.0,Ethiopia,"Foreign Affairs, Trade and Development Canada (DFATD)",3.07191012509863
Reproductive health care,2019.0,Ethiopia,"Foreign, Commonwealth and Development Office",21.047675640319998
Reproductive health care,2019.0,Ethiopia,International Development Research Centre,0.1840729482
Reproductive health care,2019.0,Ethiopia,International Planned Parenthood Federation,0.07832944861666981
Reproductive health care,2019.0,Ethiopia,Invest International,0.196169985
Reproductive health care,2019.0,Ethiopia,Ministry for Foreign Affairs of Finland,0.15236437597975
Reproductive health care,2019.0,Ethiopia,Ministry of Foreign Affairs of the Netherlands,23.2916397025
Reproductive health care,2019.0,Ethiopia,MSI Reproductive Choices,9.53983231023
Reproductive health care,2019.0,Ethiopia,Norad - Norwegian Agency for Development Cooperation,0.0916455
Reproductive health care,2019.0,Ethiopia,Plan International Netherlands,0.15522348885000004
Reproductive health care,2019.0,Ethiopia,Royal Tropical Institute,0.1456771765
Reproductive health care,2019.0,Ethiopia,Save The Children International,0.767707291815
Reproductive health care,2019.0,Ethiopia,Sweden,3.95916558444992
Reproductive health care,2019.0,Ethiopia,UNICEF,6.466351697999999
Reproductive health care,2019.0,Ethiopia,U.S. Agency for International Development,37.19589624
Reproductive health care,2019.0,"Europe, regional","Foreign Affairs, Trade and Development Canada (DFATD)",0.587886
Reproductive health care,2019.0,"Europe, regional",U.S. Agency for International Development,0.0048541800000000005
Reproductive health care,2019.0,Fiji,Aidsfonds - Soaaids Nederland,0.00015129576041666664
Reproductive health care,2019.0,Fiji,Australian Aid,0.2331722460537
Reproductive health care,2019.0,Fiji,New Zealand Ministry of Foreign Affairs and Trade,0.0091458108
Reproductive health care,2019.0,Fiji,UNICEF,0.3839780599999999
Reproductive health care,2019.0,France,Aidsfonds - Soaaids Nederland,0.00015129576041666664
Reproductive health care,2019.0,Gabon,UNICEF,0.007887042
Reproductive health care,2019.0,Gambia (the),UNICEF,0.0015226900000000002
Reproductive health care,2019.0,Georgia,AFEW International,0.03525017815
Reproductive health care,2019.0,Georgia,Aidsfonds - Soaaids Nederland,0.00015129576041666664
Reproductive health care,2019.0,Georgia,Bundesministerium fÃ¼r wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),0.38698092349999996
Reproductive health care,2019.0,Georgia,UNICEF,0.253922319
Reproductive health care,2019.0,Germany,Aidsfonds - Soaaids Nederland,0.00015129576041666664
Reproductive health care,2019.0,Ghana,Aidsfonds - Soaaids Nederland,0.00015129576041666664
Reproductive health care,2019.0,Ghana,Bill and Melinda Gates Foundation,0.91731571
Reproductive health care,2019.0,Ghana,dance4life,0.0113275866
Reproductive health care,2019.0,Ghana,European Commission - International Partnerships,-0.046693410357000004
Reproductive health care,2019.0,Ghana,"Foreign Affairs, Trade and Development Canada (DFATD)",0.924047179402756
Reproductive health care,2019.0,Ghana,International Planned Parenthood Federation,0.1261801504436352
Reproductive health care,2019.0,Ghana,Invest International,0.09077891160000001
Reproductive health care,2019.0,Ghana,Stichting Simavi,
Reproductive health care,2019.0,Ghana,UNICEF,0.494425082
Reproductive health care,2019.0,Ghana,U.S. Agency for International Development,8.03697349
Reproductive health care,2019.0,Ghana,World Bank,8.3150622
Reproductive health care,2019.0,Grenada,World Health Organization,0.0158614
Reproductive health care,2019.0,Guatemala,Bill and Melinda Gates Foundation,0.13990975
Reproductive health care,2019.0,Guatemala,European Commission - International Partnerships,1.80767560941
Reproductive health care,2019.0,Guatemala,"Foreign Affairs, Trade and Development Canada (DFATD)",0.9586743038148953
Reproductive health care,2019.0,Guatemala,Sweden,2.1785340369504755
Reproductive health care,2019.0,Guatemala,UNICEF,0.34641012000000004
Reproductive health care,2019.0,Guatemala,U.S. Agency for International Development,2.63107557
Reproductive health care,2019.0,Guatemala,World Health Organization,0.6066796
Reproductive health care,2019.0,Guinea,Aidsfonds - Soaaids Nederland,0.00015129576041666664
Reproductive health care,2019.0,Guinea,Bill and Melinda Gates Foundation,-0.0270699
Reproductive health care,2019.0,Guinea,Directorate-general Development Cooperation and Humanitarian Aid,0.08093649149999999
Reproductive health care,2019.0,Guinea,Memisa Belgique asbl,0.04293858382
Reproductive health care,2019.0,Guinea,UNICEF,1.7449640549999998
Reproductive health care,2019.0,Guinea,U.S. Agency for International Development,4.87591317
Reproductive health care,2019.0,Guinea-Bissau,UNICEF,0.251002986
Reproductive health care,2019.0,Guinea-Bissau,World Bank,0.10251731
Reproductive health care,2019.0,Guyana,Aidsfonds - Soaaids Nederland,0.00015129576041666664
Reproductive health care,2019.0,Guyana,"Foreign Affairs, Trade and Development Canada (DFATD)",0.012934939103999999
Reproductive health care,2019.0,Guyana,World Health Organization,0.08759099999999999
Reproductive health care,2019.0,Haiti,"Foreign Affairs, Trade and Development Canada (DFATD)",3.0912133382402196
Reproductive health care,2019.0,Haiti,UNICEF,0.8728480900000001
Reproductive health care,2019.0,Haiti,U.S. Agency for International Development,16.709871090000004
Reproductive health care,2019.0,Haiti,World Health Organization,0.4867552
Reproductive health care,2019.0,Honduras,Bill and Melinda Gates Foundation,0.702155
Reproductive health care,2019.0,Honduras,European Commission - International Partnerships,0.89848
Reproductive health care,2019.0,Honduras,"Foreign Affairs, Trade and Development Canada (DFATD)",0.7524176381584063
Reproductive health care,2019.0,Honduras,Norad - Norwegian Agency for Development Cooperation,0.1744931462
Reproductive health care,2019.0,Honduras,UNICEF,0.318076862
Reproductive health care,2019.0,Honduras,World Health Organization,0.4267665
Reproductive health care,2019.0,Hungary,Aidsfonds - Soaaids Nederland,0.00015129576041666664
Reproductive health care,2019.0,India,Aidsfonds - Soaaids Nederland,0.00015129576041666664
Reproductive health care,2019.0,India,Bill and Melinda Gates Foundation,24.236290092
Reproductive health care,2019.0,India,Bundesministerium fÃ¼r wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),0.101890173
Reproductive health care,2019.0,India,DFAT / Irish Aid,0.0093587923
Reproductive health care,2019.0,India,European Commission - International Partnerships,0.235112775139
Reproductive health care,2019.0,India,Memisa Belgique asbl,0.053685078479999995
Reproductive health care,2019.0,India,Norad - Norwegian Agency for Development Cooperation,0.0383440204
Reproductive health care,2019.0,India,Population Services International,0.7410989244999999
Reproductive health care,2019.0,India,Stichting Simavi,0.1746189213675625
Reproductive health care,2019.0,India,UNICEF,7.311110883000001
Reproductive health care,2019.0,India,U.S. Agency for International Development,15.057937970000001
Reproductive health care,2019.0,India,World Bank,0.28395
Reproductive health care,2019.0,Indonesia,Aidsfonds - Soaaids Nederland,0.00015129576041666664
Reproductive health care,2019.0,Indonesia,Australian Aid,0.101556726777
Reproductive health care,2019.0,Indonesia,CHOICE for Youth and Sexuality,0.046517045306999995
Reproductive health care,2019.0,Indonesia,dance4life,0.0234268945185
Reproductive health care,2019.0,Indonesia,Plan International Netherlands,0.09844740823499998
Reproductive health care,2019.0,Indonesia,Royal Tropical Institute,0.128753695
Reproductive health care,2019.0,Indonesia,Stichting Simavi,
Reproductive health care,2019.0,Indonesia,UNICEF,1.0852814769999999
Reproductive health care,2019.0,Indonesia,U.S. Agency for International Development,17.42004947
Reproductive health care,2019.0,Iran (Islamic Republic of),Australian Aid,0.019139914477800002
Reproductive health care,2019.0,Iran (Islamic Republic of),UNICEF,0.050360473
Reproductive health care,2019.0,Iraq,"Foreign Affairs, Trade and Development Canada (DFATD)",0.10369223712
Reproductive health care,2019.0,Iraq,Sweden,1.5863111919542294
Reproductive health care,2019.0,Iraq,UNICEF,1.242778093
Reproductive health care,2019.0,Jamaica,Aidsfonds - Soaaids Nederland,0.00015129576041666664
Reproductive health care,2019.0,Jamaica,European Commission - International Partnerships,3.324866502694
Reproductive health care,2019.0,Jamaica,UNICEF,0.058399172
Reproductive health care,2019.0,Jamaica,World Health Organization,0.0215506
Reproductive health care,2019.0,Japan,Aidsfonds - Soaaids Nederland,0.00015129576041666664
Reproductive health care,2019.0,Jordan,Australian Aid,0.0686464493733
Reproductive health care,2019.0,Jordan,International Development Research Centre,0.11868498549999999
Reproductive health care,2019.0,Jordan,UNICEF,1.5948107900000001
Reproductive health care,2019.0,Jordan,U.S. Agency for International Development,16.894064889999992
Reproductive health care,2019.0,Kazakhstan,Aidsfonds - Soaaids Nederland,0.00015129576041666664
Reproductive health care,2019.0,Kazakhstan,UNICEF,0.219359624
