Code type,Year,recipient_name,Reporting Organisation Narrative,disbursed
Reproductive health care,2019.0,,Aidsfonds - Soaaids Nederland,0.8160726007599999
Reproductive health care,2019.0,,Plan International Netherlands,1.197713811525
Reproductive health care,2019.0,Afghanistan,Australian Aid,0.023712852176100002
Reproductive health care,2019.0,Afghanistan,Ministry for Foreign Affairs of Finland,2.80775
Reproductive health care,2019.0,Afghanistan,MSI Reproductive Choices,0.814829945715
Reproductive health care,2019.0,Afghanistan,Norad - Norwegian Agency for Development Cooperation,0.16069002059999998
Reproductive health care,2019.0,Afghanistan,Sweden,1.1925561860848781
Reproductive health care,2019.0,Afghanistan,UNICEF,7.294691993999999
Reproductive health care,2019.0,Afghanistan,U.S. Agency for International Development,31.190471739999996
Reproductive health care,2019.0,"Africa, regional",Bill and Melinda Gates Foundation,1.262633030766
Reproductive health care,2019.0,"Africa, regional","Foreign Affairs, Trade and Development Canada (DFATD)",2.18753888
Reproductive health care,2019.0,"Africa, regional","Foreign, Commonwealth and Development Office",0.0674629812
Reproductive health care,2019.0,"Africa, regional",International Development Research Centre,0.10136544959999998
Reproductive health care,2019.0,"Africa, regional",Ipas,3.367244604312
Reproductive health care,2019.0,"Africa, regional","Ministry of Foreign Affairs, Denmark",11.2425
Reproductive health care,2019.0,"Africa, regional",Rutgers,1.86695091814
Reproductive health care,2019.0,"Africa, regional",The Open University,0.17585255919999998
Reproductive health care,2019.0,"Africa, regional",U.S. Agency for International Development,5.859206270000001
Reproductive health care,2019.0,Albania,Aidsfonds - Soaaids Nederland,0.00015129576041666664
Reproductive health care,2019.0,Albania,UNICEF,
Reproductive health care,2019.0,Algeria,UNICEF,0.02214636
Reproductive health care,2019.0,"America, regional","Foreign Affairs, Trade and Development Canada (DFATD)",1.2830988799999998
Reproductive health care,2019.0,"America, regional",U.S. Agency for International Development,2.711298729999999
Reproductive health care,2019.0,Angola,Aidsfonds - Soaaids Nederland,0.00015129576041666664
Reproductive health care,2019.0,Angola,UNICEF,0.877398656
Reproductive health care,2019.0,Angola,World Bank,6.525234200000001
Reproductive health care,2019.0,Antigua and Barbuda,Aidsfonds - Soaaids Nederland,0.00015129576041666664
Reproductive health care,2019.0,Antigua and Barbuda,World Health Organization,0.0370755
Reproductive health care,2019.0,Argentina,Bill and Melinda Gates Foundation,0.15119412
Reproductive health care,2019.0,Argentina,International Development Research Centre,0.008714201100000001
Reproductive health care,2019.0,Argentina,UNICEF,0.6720988859999999
Reproductive health care,2019.0,Argentina,World Health Organization,0.0015734000000000002
Reproductive health care,2019.0,Armenia,UNICEF,0.078429681
Reproductive health care,2019.0,Armenia,U.S. Agency for International Development,0.18422365
Reproductive health care,2019.0,Armenia,World Bank,0.060207949999999996
Reproductive health care,2019.0,"Asia, regional",Bill and Melinda Gates Foundation,1.1365613607660001
Reproductive health care,2019.0,"Asia, regional","Foreign Affairs, Trade and Development Canada (DFATD)",1.5845788799999998
Reproductive health care,2019.0,"Asia, regional",International Planned Parenthood Federation,0.5514410873400001
Reproductive health care,2019.0,"Asia, regional",Ipas,1.175475
Reproductive health care,2019.0,"Asia, regional","Ministry of Foreign Affairs, Denmark",0.277315
Reproductive health care,2019.0,"Asia, regional",Rutgers,1.86695091814
Reproductive health care,2019.0,"Asia, regional",The Open University,0.08792627959999999
Reproductive health care,2019.0,"Asia, regional",U.S. Agency for International Development,1.25810898
Reproductive health care,2019.0,Australia,Aidsfonds - Soaaids Nederland,0.00015129576041666664
Reproductive health care,2019.0,Austria,Aidsfonds - Soaaids Nederland,0.00015129576041666664
Reproductive health care,2019.0,Azerbaijan,UNICEF,0.022452763
Reproductive health care,2019.0,Bangladesh,Action Against Hunger,7.32522879183
Reproductive health care,2019.0,Bangladesh,Aidsfonds - Soaaids Nederland,0.00015129576041666664
Reproductive health care,2019.0,Bangladesh,Bill and Melinda Gates Foundation,1.33794534
Reproductive health care,2019.0,Bangladesh,Bundesministerium fÃ¼r wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),0.479119132
Reproductive health care,2019.0,Bangladesh,Diakonia,
Reproductive health care,2019.0,Bangladesh,"Foreign Affairs, Trade and Development Canada (DFATD)",4.450996231266822
Reproductive health care,2019.0,Bangladesh,"Foreign, Commonwealth and Development Office",3.4241253688600004
Reproductive health care,2019.0,Bangladesh,Ipas,0.08
Reproductive health care,2019.0,Bangladesh,LAMB Health Care Foundation,0.0062785
Reproductive health care,2019.0,Bangladesh,Ministry of Foreign Affairs of the Netherlands,1.211113163
Reproductive health care,2019.0,Bangladesh,MSI Reproductive Choices,3.422285772003
Reproductive health care,2019.0,Bangladesh,New Zealand Ministry of Foreign Affairs and Trade,1.5100341079949995
