Reporting Organsation Reference,Name,Organisation Type,Transaction Type,Value $m,YYYYMM year and month
44000,World Bank,IFI,Commitment,8764.933835,202009
44000,World Bank,IFI,Commitment,12078.750614,202012
44000,World Bank,IFI,Commitment,0.011451,202101
44000,World Bank,IFI,Commitment,14141.468482,202103
44000,World Bank,IFI,Commitment,26383.300915,202106
44000,World Bank,IFI,Commitment,-104.801308,202107
44000,World Bank,IFI,Spend,9976.233476,202009
44000,World Bank,IFI,Spend,11618.113215,202012
44000,World Bank,IFI,Spend,0.014294,202101
44000,World Bank,IFI,Spend,10005.77978,202103
44000,World Bank,IFI,Spend,13058.030671,202106
44000,World Bank,IFI,Spend,2344.93204,202107
46002,African Development Bank Group (AfDB),IFI,Commitment,79.2553220079,202008
46002,African Development Bank Group (AfDB),IFI,Commitment,13.355746962354,202009
46002,African Development Bank Group (AfDB),IFI,Commitment,4.391431916577,202010
46002,African Development Bank Group (AfDB),IFI,Commitment,34.506994819626,202011
46002,African Development Bank Group (AfDB),IFI,Commitment,6.550449842345,202012
46002,African Development Bank Group (AfDB),IFI,Commitment,0,202101
46002,African Development Bank Group (AfDB),IFI,Commitment,0,202102
46002,African Development Bank Group (AfDB),IFI,Commitment,0,202103
46002,African Development Bank Group (AfDB),IFI,Commitment,0,202104
46002,African Development Bank Group (AfDB),IFI,Spend,75.635184690805,202008
46002,African Development Bank Group (AfDB),IFI,Spend,174.465292590214,202009
46002,African Development Bank Group (AfDB),IFI,Spend,129.633147447737,202010
46002,African Development Bank Group (AfDB),IFI,Spend,36.7661210581349,202011
46002,African Development Bank Group (AfDB),IFI,Spend,57.512240271366,202012
46002,African Development Bank Group (AfDB),IFI,Spend,0,202101
46002,African Development Bank Group (AfDB),IFI,Spend,0,202102
46002,African Development Bank Group (AfDB),IFI,Spend,0,202103
46002,African Development Bank Group (AfDB),IFI,Spend,0,202104
46004,Asian Development Bank (ADB),IFI,Commitment,2709.94903004,202008
46004,Asian Development Bank (ADB),IFI,Commitment,2508.36154909,202009
46004,Asian Development Bank (ADB),IFI,Commitment,1649.08394287,202010
46004,Asian Development Bank (ADB),IFI,Commitment,3306.16763009,202011
46004,Asian Development Bank (ADB),IFI,Commitment,5574.0515922041,202012
46004,Asian Development Bank (ADB),IFI,Commitment,65,202101
46004,Asian Development Bank (ADB),IFI,Commitment,150,202102
46004,Asian Development Bank (ADB),IFI,Spend,1263.01325283999,202008
46004,Asian Development Bank (ADB),IFI,Spend,1460.19382849999,202009
46004,Asian Development Bank (ADB),IFI,Spend,834.777398289999,202010
46004,Asian Development Bank (ADB),IFI,Spend,835.576293089999,202011
46004,Asian Development Bank (ADB),IFI,Spend,4822.25880827999,202012
46004,Asian Development Bank (ADB),IFI,Spend,1231.4466819,202101
46004,Asian Development Bank (ADB),IFI,Spend,914.55941103,202102
46004,Asian Development Bank (ADB),IFI,Spend,1331.48372163999,202103
46004,Asian Development Bank (ADB),IFI,Spend,878.525374069999,202104
46004,Asian Development Bank (ADB),IFI,Spend,450.28281462,202105
46004,Asian Development Bank (ADB),IFI,Spend,965.11273038,202106
46004,Asian Development Bank (ADB),IFI,Spend,51.63012766,202107
47045,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Multilateral,Commitment,283.91915043,202008
47045,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Multilateral,Commitment,157.843733929999,202009
47045,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Multilateral,Commitment,185.652058979999,202010
47045,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Multilateral,Commitment,217.674378149999,202011
47045,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Multilateral,Commitment,1158.78545450999,202012
47045,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Multilateral,Commitment,1947.23893403999,202101
47045,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Multilateral,Commitment,522.717171409999,202102
47045,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Multilateral,Commitment,441.04253768,202103
47045,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Multilateral,Commitment,126.084913859999,202104
47045,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Multilateral,Commitment,249.314527249999,202105
47045,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Multilateral,Commitment,245.878420649999,202106
47045,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Multilateral,Commitment,574.91474791,202107
47045,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Multilateral,Spend,351.90925714,202008
47045,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Multilateral,Spend,317.020210349999,202009
47045,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Multilateral,Spend,487.05256797,202010
47045,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Multilateral,Spend,276.69579458,202011
47045,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Multilateral,Spend,466.265186369999,202012
47045,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Multilateral,Spend,567.140844489999,202101
47045,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Multilateral,Spend,216.537845239999,202102
47045,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Multilateral,Spend,288.968554619999,202103
47045,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Multilateral,Spend,327.400916579999,202104
47045,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Multilateral,Spend,172.944417419999,202105
47045,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Multilateral,Spend,438.15939302,202106
47045,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Multilateral,Spend,486.95626194,202107
47122,"Gavi, the Vaccine Alliance",Multilateral,Commitment,2980.38969629999,202009
47122,"Gavi, the Vaccine Alliance",Multilateral,Commitment,97.5729953,202010
47122,"Gavi, the Vaccine Alliance",Multilateral,Commitment,4640.3936492,202102
47122,"Gavi, the Vaccine Alliance",Multilateral,Commitment,50.0356515,202103
47122,"Gavi, the Vaccine Alliance",Multilateral,Commitment,68.63978488,202104
47122,"Gavi, the Vaccine Alliance",Multilateral,Commitment,58.94415968,202105
47122,"Gavi, the Vaccine Alliance",Multilateral,Commitment,397.917363389999,202106
47122,"Gavi, the Vaccine Alliance",Multilateral,Commitment,47.48930845,202107
47122,"Gavi, the Vaccine Alliance",Multilateral,Spend,211.0051593,202008
47122,"Gavi, the Vaccine Alliance",Multilateral,Spend,150.39410212,202009
47122,"Gavi, the Vaccine Alliance",Multilateral,Spend,298.15135728,202010
47122,"Gavi, the Vaccine Alliance",Multilateral,Spend,355.65130291,202011
47122,"Gavi, the Vaccine Alliance",Multilateral,Spend,315.34070614,202012
47122,"Gavi, the Vaccine Alliance",Multilateral,Spend,32.73022615,202101
47122,"Gavi, the Vaccine Alliance",Multilateral,Spend,379.00891761,202102
47122,"Gavi, the Vaccine Alliance",Multilateral,Spend,592.10483548,202103
47122,"Gavi, the Vaccine Alliance",Multilateral,Spend,572.74830115,202104
47122,"Gavi, the Vaccine Alliance",Multilateral,Spend,268.704797439999,202105
47122,"Gavi, the Vaccine Alliance",Multilateral,Spend,638.210636279999,202106
47122,"Gavi, the Vaccine Alliance",Multilateral,Spend,2358.75335357,202107
CA-3,"Canada – Foreign Affairs, Trade and Development (DFATD)",Bilateral,Commitment,18.71783000518,202008
CA-3,"Canada – Foreign Affairs, Trade and Development (DFATD)",Bilateral,Commitment,22.53701108564,202009
CA-3,"Canada – Foreign Affairs, Trade and Development (DFATD)",Bilateral,Commitment,27.20087159023,202010
CA-3,"Canada – Foreign Affairs, Trade and Development (DFATD)",Bilateral,Commitment,164.4072845956,202011
CA-3,"Canada – Foreign Affairs, Trade and Development (DFATD)",Bilateral,Commitment,22.4705183688,202012
CA-3,"Canada – Foreign Affairs, Trade and Development (DFATD)",Bilateral,Commitment,56.665179,202101
CA-3,"Canada – Foreign Affairs, Trade and Development (DFATD)",Bilateral,Commitment,49.152749034717,202102
CA-3,"Canada – Foreign Affairs, Trade and Development (DFATD)",Bilateral,Commitment,917.096531026748,202103
CA-3,"Canada – Foreign Affairs, Trade and Development (DFATD)",Bilateral,Commitment,57.409993029,202104
CA-3,"Canada – Foreign Affairs, Trade and Development (DFATD)",Bilateral,Commitment,10.616751195,202105
CA-3,"Canada – Foreign Affairs, Trade and Development (DFATD)",Bilateral,Commitment,21.3013176644999,202106
CA-3,"Canada – Foreign Affairs, Trade and Development (DFATD)",Bilateral,Spend,78.8670336534439,202008
CA-3,"Canada – Foreign Affairs, Trade and Development (DFATD)",Bilateral,Spend,87.943981457954,202009
CA-3,"Canada – Foreign Affairs, Trade and Development (DFATD)",Bilateral,Spend,59.5117804147679,202010
CA-3,"Canada – Foreign Affairs, Trade and Development (DFATD)",Bilateral,Spend,129.562939543996,202011
