Reporting Organsation Reference,Name,Organisation Type,Transaction Type,Value $m,YYYYMM year and month
CA-3,"Canada – Foreign Affairs, Trade and Development (DFATD)",Bilateral,Spend,134.962642632676,202012
CA-3,"Canada – Foreign Affairs, Trade and Development (DFATD)",Bilateral,Spend,212.019601986174,202101
CA-3,"Canada – Foreign Affairs, Trade and Development (DFATD)",Bilateral,Spend,171.749196332187,202102
CA-3,"Canada – Foreign Affairs, Trade and Development (DFATD)",Bilateral,Spend,971.908411017408,202103
CA-3,"Canada – Foreign Affairs, Trade and Development (DFATD)",Bilateral,Spend,62.673184672662,202104
CA-3,"Canada – Foreign Affairs, Trade and Development (DFATD)",Bilateral,Spend,66.281581125642,202105
CA-3,"Canada – Foreign Affairs, Trade and Development (DFATD)",Bilateral,Spend,73.638992235609,202106
CA-3,"Canada – Foreign Affairs, Trade and Development (DFATD)",Bilateral,Spend,48.4459954418099,202107
CH-4,Switzerland – Swiss Agency for Development and Cooperation (SDC),Bilateral,Commitment,3393.60431084479,202012
CH-4,Switzerland – Swiss Agency for Development and Cooperation (SDC),Bilateral,Spend,1850.4522899584,202012
DE-1,Germany – Federal Ministry for Economic Cooperation and Development (BMZ),Bilateral,Commitment,115.4115,202009
DE-1,Germany – Federal Ministry for Economic Cooperation and Development (BMZ),Bilateral,Commitment,84.0375,202010
DE-1,Germany – Federal Ministry for Economic Cooperation and Development (BMZ),Bilateral,Commitment,149.6603253915,202011
DE-1,Germany – Federal Ministry for Economic Cooperation and Development (BMZ),Bilateral,Commitment,953.075072529449,202012
DE-1,Germany – Federal Ministry for Economic Cooperation and Development (BMZ),Bilateral,Commitment,415.822723348608,202101
DE-1,Germany – Federal Ministry for Economic Cooperation and Development (BMZ),Bilateral,Commitment,25.703136,202102
DE-1,Germany – Federal Ministry for Economic Cooperation and Development (BMZ),Bilateral,Commitment,12.4443,202105
DE-1,Germany – Federal Ministry for Economic Cooperation and Development (BMZ),Bilateral,Commitment,134.6247,202106
DE-1,Germany – Federal Ministry for Economic Cooperation and Development (BMZ),Bilateral,Commitment,28.2825,202107
DE-1,Germany – Federal Ministry for Economic Cooperation and Development (BMZ),Bilateral,Spend,22.41,202008
DE-1,Germany – Federal Ministry for Economic Cooperation and Development (BMZ),Bilateral,Spend,70.5915,202009
DE-1,Germany – Federal Ministry for Economic Cooperation and Development (BMZ),Bilateral,Spend,78.810968659455,202010
DE-1,Germany – Federal Ministry for Economic Cooperation and Development (BMZ),Bilateral,Spend,0.302328828,202011
DE-1,Germany – Federal Ministry for Economic Cooperation and Development (BMZ),Bilateral,Spend,1204.45073208801,202012
DE-1,Germany – Federal Ministry for Economic Cooperation and Development (BMZ),Bilateral,Spend,6.487592202171,202101
DE-1,Germany – Federal Ministry for Economic Cooperation and Development (BMZ),Bilateral,Spend,12.329595434034,202102
DE-1,Germany – Federal Ministry for Economic Cooperation and Development (BMZ),Bilateral,Spend,10.288195049943,202103
DE-1,Germany – Federal Ministry for Economic Cooperation and Development (BMZ),Bilateral,Spend,116.195084917254,202104
DE-1,Germany – Federal Ministry for Economic Cooperation and Development (BMZ),Bilateral,Spend,46.9890969182459,202105
DE-1,Germany – Federal Ministry for Economic Cooperation and Development (BMZ),Bilateral,Spend,166.762604829851,202106
DE-1,Germany – Federal Ministry for Economic Cooperation and Development (BMZ),Bilateral,Spend,330.083057508669,202107
DE-1,Germany – Federal Ministry for Economic Cooperation and Development (BMZ),Bilateral,Spend,2072.00250673722,202012
ES-DIR3-EA0035768,Spain – Agency for International Development Cooperation (AECID),Bilateral,Commitment,1.2522490623,202008
ES-DIR3-EA0035768,Spain – Agency for International Development Cooperation (AECID),Bilateral,Commitment,6.23095808445,202009
ES-DIR3-EA0035768,Spain – Agency for International Development Cooperation (AECID),Bilateral,Commitment,4.962975599835,202010
ES-DIR3-EA0035768,Spain – Agency for International Development Cooperation (AECID),Bilateral,Commitment,1.18338658344,202011
ES-DIR3-EA0035768,Spain – Agency for International Development Cooperation (AECID),Bilateral,Commitment,13.9446213795,202012
ES-DIR3-EA0035768,Spain – Agency for International Development Cooperation (AECID),Bilateral,Commitment,36.6898797368459,202101
ES-DIR3-EA0035768,Spain – Agency for International Development Cooperation (AECID),Bilateral,Commitment,0.817794143999999,202102
ES-DIR3-EA0035768,Spain – Agency for International Development Cooperation (AECID),Bilateral,Commitment,1.89692447076,202103
ES-DIR3-EA0035768,Spain – Agency for International Development Cooperation (AECID),Bilateral,Commitment,0.0885378006,202104
ES-DIR3-EA0035768,Spain – Agency for International Development Cooperation (AECID),Bilateral,Spend,25.086421493055,202008
ES-DIR3-EA0035768,Spain – Agency for International Development Cooperation (AECID),Bilateral,Spend,18.62601735744,202009
ES-DIR3-EA0035768,Spain – Agency for International Development Cooperation (AECID),Bilateral,Spend,38.605078926135,202010
ES-DIR3-EA0035768,Spain – Agency for International Development Cooperation (AECID),Bilateral,Spend,29.7383093163899,202011
ES-DIR3-EA0035768,Spain – Agency for International Development Cooperation (AECID),Bilateral,Spend,117.941747214599,202012
ES-DIR3-EA0035768,Spain – Agency for International Development Cooperation (AECID),Bilateral,Spend,0.379036680011999,202101
ES-DIR3-EA0035768,Spain – Agency for International Development Cooperation (AECID),Bilateral,Spend,0.33939,202102
ES-DIR3-EA0035768,Spain – Agency for International Development Cooperation (AECID),Bilateral,Spend,5.45704845003899,202103
ES-DIR3-EA0035768,Spain – Agency for International Development Cooperation (AECID),Bilateral,Spend,5.29866042021,202104
ES-DIR3-EA0035768,Spain – Agency for International Development Cooperation (AECID),Bilateral,Spend,25.7310063221579,202105
ES-DIR3-EA0035768,Spain – Agency for International Development Cooperation (AECID),Bilateral,Spend,0.0056565,202107
FI-3,Finland – Ministry for Foreign Affairs,Bilateral,Commitment,7.861396626,202008
FI-3,Finland – Ministry for Foreign Affairs,Bilateral,Commitment,6.201342261,202009
FI-3,Finland – Ministry for Foreign Affairs,Bilateral,Commitment,4.512293838,202010
FI-3,Finland – Ministry for Foreign Affairs,Bilateral,Commitment,159.426253795499,202011
FI-3,Finland – Ministry for Foreign Affairs,Bilateral,Commitment,729.20160334215,202012
FI-3,Finland – Ministry for Foreign Affairs,Bilateral,Commitment,0.1210491,202101
FI-3,Finland – Ministry for Foreign Affairs,Bilateral,Commitment,26.0033694444,202102
FI-3,Finland – Ministry for Foreign Affairs,Bilateral,Commitment,91.9711343241,202103
FI-3,Finland – Ministry for Foreign Affairs,Bilateral,Commitment,10.8209229642,202104
FI-3,Finland – Ministry for Foreign Affairs,Bilateral,Commitment,27.5734622502,202105
FI-3,Finland – Ministry for Foreign Affairs,Bilateral,Commitment,143.438240850299,202106
FI-3,Finland – Ministry for Foreign Affairs,Bilateral,Commitment,2.0749603194,202107
FI-3,Finland – Ministry for Foreign Affairs,Bilateral,Spend,27.974367144,202008
FI-3,Finland – Ministry for Foreign Affairs,Bilateral,Spend,17.44145649,202009
FI-3,Finland – Ministry for Foreign Affairs,Bilateral,Spend,24.3544159754999,202010
FI-3,Finland – Ministry for Foreign Affairs,Bilateral,Spend,18.8991765675,202011
FI-3,Finland – Ministry for Foreign Affairs,Bilateral,Spend,850.43750211922,202012
FI-3,Finland – Ministry for Foreign Affairs,Bilateral,Spend,107.967333865508,202101
FI-3,Finland – Ministry for Foreign Affairs,Bilateral,Spend,36.4900939443,202102
FI-3,Finland – Ministry for Foreign Affairs,Bilateral,Spend,18.520745393052,202103
FI-3,Finland – Ministry for Foreign Affairs,Bilateral,Spend,33.6758980841999,202104
FI-3,Finland – Ministry for Foreign Affairs,Bilateral,Spend,69.415063359687,202105
FI-3,Finland – Ministry for Foreign Affairs,Bilateral,Spend,106.924987656432,202106
FI-3,Finland – Ministry for Foreign Affairs,Bilateral,Spend,41.152049119773,202107
FR-3,France - AFD,Bilateral,Commitment,2526.45459304353,202107
FR-3,France - AFD,Bilateral,Spend,5028.23756245333,202012
FR-3,France - AFD,Bilateral,Spend,184.945360206654,202106
FR-3,France - AFD,Bilateral,Spend,1230.53656021289,202107
FR-6,France - MAEDI,Bilateral,Commitment,0.2243902095,202008
FR-6,France - MAEDI,Bilateral,Commitment,0.6011381655,202009
FR-6,France - MAEDI,Bilateral,Commitment,0.666960817499999,202010
FR-6,France - MAEDI,Bilateral,Commitment,0.7016582205,202011
FR-6,France - MAEDI,Bilateral,Commitment,0.6012860715,202012
FR-6,France - MAEDI,Bilateral,Commitment,3.1329962001,202101
FR-6,France - MAEDI,Bilateral,Commitment,0.8326368,202102
FR-6,France - MAEDI,Bilateral,Commitment,4.7596472181,202103
FR-6,France - MAEDI,Bilateral,Commitment,1.4987247453,202104
FR-6,France - MAEDI,Bilateral,Commitment,5.8500971064,202105
FR-6,France - MAEDI,Bilateral,Commitment,0.0086046678,202106
FR-6,France - MAEDI,Bilateral,Spend,0.01990008,202008
FR-6,France - MAEDI,Bilateral,Spend,0.135824769,202009
FR-6,France - MAEDI,Bilateral,Spend,0.277415631,202010
FR-6,France - MAEDI,Bilateral,Spend,0.1461143205,202011
FR-6,France - MAEDI,Bilateral,Spend,0.0171694215,202012
FR-6,France - MAEDI,Bilateral,Spend,0.7837804782,202103
FR-6,France - MAEDI,Bilateral,Spend,0.2049621462,202104
FR-6,France - MAEDI,Bilateral,Spend,0.0533238255,202105
GB-CHC-209131,UK – British Council,Bilateral,Commitment,0.121779941742,202008
GB-CHC-209131,UK – British Council,Bilateral,Commitment,1.101670385682,202009
GB-CHC-209131,UK – British Council,Bilateral,Commitment,0.378713067471,202010
GB-CHC-209131,UK – British Council,Bilateral,Commitment,0.1361648832,202011
GB-CHC-209131,UK – British Council,Bilateral,Commitment,0.210328167903,202101
GB-CHC-209131,UK – British Council,Bilateral,Commitment,0.1630502572,202102
GB-CHC-209131,UK – British Council,Bilateral,Commitment,1.120645512774,202103
GB-CHC-209131,UK – British Council,Bilateral,Commitment,0.2959701486,202105
GB-CHC-209131,UK – British Council,Bilateral,Commitment,0.2883288938,202106
GB-CHC-209131,UK – British Council,Bilateral,Spend,1.36766642118,202008
GB-CHC-209131,UK – British Council,Bilateral,Spend,0.255809395011,202009
GB-CHC-209131,UK – British Council,Bilateral,Spend,0.796201688076,202010
GB-CHC-209131,UK – British Council,Bilateral,Spend,2.397490226964,202011
GB-CHC-209131,UK – British Council,Bilateral,Spend,0.459270971847,202012
GB-CHC-209131,UK – British Council,Bilateral,Spend,0.465798933636,202101
GB-CHC-209131,UK – British Council,Bilateral,Spend,1.988795870576,202102
GB-CHC-209131,UK – British Council,Bilateral,Spend,0.600070453026,202103
GB-CHC-209131,UK – British Council,Bilateral,Spend,0.633336578953,202104
GB-CHC-209131,UK – British Council,Bilateral,Spend,2.18321778924299,202105
GB-CHC-209131,UK – British Council,Bilateral,Spend,0.160598956108,202106
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Commitment,313.8656026284,202008
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Commitment,258.992996032499,202009
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Commitment,300.1637959731,202010
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Commitment,604.6961663724,202011
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Commitment,519.6696770517,202012
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Commitment,7.5972959723,202101
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Commitment,12.9786748799,202102
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Commitment,187.6580177584,202103
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Commitment,420.1632851608,202104
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Commitment,56.5485598289,202105
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Commitment,305.6844107493,202106
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Commitment,40.5194813843,202107
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,586.1879183019,202008
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,626.972948116293,202009
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,782.6164687533,202010
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,1087.7437907886,202011
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,2741.29986143269,202012
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,434.203857919999,202101
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,237.8360776288,202102
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,839.722567023751,202103
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,445.5994314625,202104
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,372.564926839,202105
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,283.5768461883,202106
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,702.5766266337,202107
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,145.02082168505,202008
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,156.044456004405,202009
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,45.343049407305,202010
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,43.673479824966,202011
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,237.258793832985,202012
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,40.5411107580789,202101
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,37.5697528164439,202102
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,276.865692529899,202103
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,194.4783371586,202104
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,5.72447052770001,202105
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,5.1036029661,202106
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,2.77237307479999,202107
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,0.827535775499999,202008
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,0.586340304,202009
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,783.1474872627,202010
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,34.8659939736,202011
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,22.83782976,202012
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,2.3591869901,202101
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,0.2086888642,202102
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,65.4736030689,202103
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,13.5590644431,202104
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,9.5211643746,202105
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,51.8477833079,202106
GB-GOV-1,"UK – Foreign, Commonwealth and Development Office (FCDO)",Bilateral,Spend,572.3151462694,202107
GB-GOV-10,UK – Department of Health and Social Care (DHSC),Bilateral,Commitment,1.79913042781199,202008
GB-GOV-10,UK – Department of Health and Social Care (DHSC),Bilateral,Commitment,21.999546272436,202009
GB-GOV-10,UK – Department of Health and Social Care (DHSC),Bilateral,Commitment,0.599462939646,202010
GB-GOV-10,UK – Department of Health and Social Care (DHSC),Bilateral,Commitment,1.2007,202103
GB-GOV-10,UK – Department of Health and Social Care (DHSC),Bilateral,Spend,16.570293012492,202008
GB-GOV-10,UK – Department of Health and Social Care (DHSC),Bilateral,Spend,26.2274942193809,202009
GB-GOV-10,UK – Department of Health and Social Care (DHSC),Bilateral,Spend,0.74755165524,202010
GB-GOV-10,UK – Department of Health and Social Care (DHSC),Bilateral,Spend,17.180535932643,202011
GB-GOV-10,UK – Department of Health and Social Care (DHSC),Bilateral,Spend,14.64912076704,202012
GB-GOV-10,UK – Department of Health and Social Care (DHSC),Bilateral,Spend,6.140281402635,202101
GB-GOV-10,UK – Department of Health and Social Care (DHSC),Bilateral,Spend,9.540954564147,202102
GB-GOV-10,UK – Department of Health and Social Care (DHSC),Bilateral,Spend,19.2873314040949,202103
GB-GOV-10,UK – Department of Health and Social Care (DHSC),Bilateral,Spend,3.020404867662,202104
GB-GOV-10,UK – Department of Health and Social Care (DHSC),Bilateral,Spend,2.905970749343,202105
GB-GOV-10,UK – Department of Health and Social Care (DHSC),Bilateral,Spend,13.676019443076,202106
GB-GOV-10,UK – Department of Health and Social Care (DHSC),Bilateral,Spend,0.984728854279,202107
GB-GOV-10,UK – Department of Health and Social Care (DHSC),Bilateral,Spend,0.4207417437,202008
GB-GOV-10,UK – Department of Health and Social Care (DHSC),Bilateral,Spend,0.299674726437,202009
GB-GOV-13,"UK – Department for Business, Energy and Industrial Strategy (BEIS)",Bilateral,Commitment,817.836,202009
GB-GOV-13,"UK – Department for Business, Energy and Industrial Strategy (BEIS)",Bilateral,Commitment,12.027,202012
GB-GOV-13,"UK – Department for Business, Energy and Industrial Strategy (BEIS)",Bilateral,Commitment,12.007,202102
GB-GOV-13,"UK – Department for Business, Energy and Industrial Strategy (BEIS)",Bilateral,Spend,3.6081,202008
GB-GOV-13,"UK – Department for Business, Energy and Industrial Strategy (BEIS)",Bilateral,Spend,8.682275797197,202009
GB-GOV-13,"UK – Department for Business, Energy and Industrial Strategy (BEIS)",Bilateral,Spend,70.83903,202010
GB-GOV-13,"UK – Department for Business, Energy and Industrial Strategy (BEIS)",Bilateral,Spend,20.3509203756,202011
GB-GOV-13,"UK – Department for Business, Energy and Industrial Strategy (BEIS)",Bilateral,Spend,9.619923772956,202012
GB-GOV-13,"UK – Department for Business, Energy and Industrial Strategy (BEIS)",Bilateral,Spend,12.2555449,202101
GB-GOV-13,"UK – Department for Business, Energy and Industrial Strategy (BEIS)",Bilateral,Spend,6.225209255,202102
